Order_ID,Product_ID
1152410,9485
1152410,6681
1152410,8443
1152410,4915
2126113,8902
2126113,5949
1026002,4351
1026002,8077
1026002,6608
1026002,6719
1026002,1341
2565969,8417
1121571,7795
1121571,8110
1121571,8110
3384604,2073
3384604,5757
3384604,6719
3384604,3314
1044560,5053
1044560,1377
1044560,2703
2142763,1049
2293135,2185
2293135,9832
2293135,5607
2293135,4823
2293135,1875
2293135,2522
2293135,6903
2293135,5053
3398975,2916
3398975,2073
2300697,8384
2300697,9832
2300697,7591
2300697,5689
2300697,5679
2380118,1858
1682989,9745
1682989,6424
1682989,6306
1682989,5056
1682989,2077
1801684,5442
1801684,1676
1801684,7720
1801684,5679
1801684,5665
2088631,2073
2088631,8077
3096569,8085
3096569,5442
3096569,2185
3096569,9154
1777086,9154
1777086,8025
1777086,4654
1777086,4885
1777086,2094
1777086,1941
1777086,8077
1777086,5607
2504122,6849
2504122,2185
1121337,4674
1121337,9348
1121337,5216
1121337,6681
1121337,2077
1121337,4674
3439076,2197
3439076,7957
3439076,2695
3439076,8077
2650851,8824
1176780,5647
1176780,5647
1176780,1405
1176780,5056
1176780,4738
3321118,6591
3321118,6680
3321118,2799
3321118,4756
3321118,5665
3321118,2916
3321118,4756
3321118,6740
1578569,7152
1578569,7795
1578569,1831
1578569,9858
1874689,4103
1206364,4103
1206364,6896
2432910,1858
2432910,8110
2432910,7090
2432910,1405
2432910,5271
2432910,7329
2432910,1975
2908547,7329
2908547,3408
2908547,7876
2908547,7329
2706466,6591
2706466,7236
2706466,6591
3408528,2197
3408528,3873
2343683,8824
2343683,4836
1447176,6306
1447176,2740
1447176,5056
3114666,6719
3114666,3692
3114666,6374
3114666,3336
3114666,1527
1970004,9154
1970004,2916
1970004,1676
1830468,3600
1830468,1286
1830468,3600
1830468,3226
1830468,1858
1830468,7090
1830468,3977
1265516,9858
1265516,4756
1265516,6319
1265516,6319
1169403,6306
1169403,9149
1169403,7591
1169403,5607
1169403,7329
2504274,6903
2504274,9149
2660772,8004
2660772,5442
2660772,8230
2660772,2073
2207766,4476
2207766,1527
1907000,4173
1907000,5442
2118185,1975
2118185,1858
2118185,7329
2118185,1045
2118185,5689
2362746,2185
2362746,7200
2362746,4103
2362746,1676
1711908,7236
1711908,6428
1711908,7795
1711908,6903
1711908,8666
2961754,5647
2961754,8004
2961754,8443
2961754,6704
2961754,8110
2961754,8902
2961754,3213
1527770,2185
1527770,4126
2497674,3199
1869099,1941
1869099,1559
1869099,9154
1869099,7266
1869099,3408
1869099,1341
1869099,8417
2810571,6849
2810571,7572
2810571,5442
2732207,4915
2732207,2130
1409249,5056
1409249,1049
1409249,9693
1409249,1286
1409249,1405
2611561,3692
2611561,3692
2611561,7200
2611561,7572
2611561,4744
2611561,7152
3065273,7795
3065273,7266
3065273,1941
3065273,9348
3065273,7329
2265810,2740
2265810,3213
2265810,5607
2265810,4756
2265810,1341
2759307,2130
2759307,9745
2759307,1527
2759307,7200
2759307,5689
2184364,6680
2184364,5523
2253071,8110
2415615,8004
2812799,3226
2812799,8085
2812799,7236
2812799,7957
2812799,4654
2812799,9858
1197073,7720
1197073,9499
2386896,2522
2386896,8417
2386896,9858
2073884,1286
1478063,6428
1478063,2130
1478063,3977
1478063,4915
3406801,8077
3406801,5689
3406801,5607
3406801,7609
3406801,5999
3406801,6704
3406801,6880
3406801,4738
2094286,9745
2094286,4915
2094286,9485
2094286,5056
2094286,4756
2094286,2799
1827603,1875
2022554,8417
2022554,1527
2022554,8110
